year,title,artist,number
2009,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인) ",리쌍,2312253
2009,토요일밤에 ,손담비,2112982
2009,Hot Issue ,4minute,2197448
2009,Muzik ,4minute,2269959
2009,Diva ,애프터스쿨,2129151
2009,미스터 ,카라,2238379
2009,Insomnia (불면증) ,휘성 (Realslow),2063248
2009,My Man ,다비치,2093362
2009,YOU AND I ,박봄 (Park Bom),2338186
2009,내 귀에 캔디 (Feat. 택연 Of 2PM) ,백지영,2253748
2009,사랑..그 놈 ,바비 킴,2019681
2009,반쪽 ,박화요비,2049250
2009,이젠 남이야 (Feat. Baby-J Of Jewelry) ,김경록 (V.O.S),1996934
2009,여성시대 ,씨야,2159715
2009,잊지 말아요 ,백지영,2319548
2009,니가 밉다 ,2PM,2135470
2009,결혼해 줄래 (Feat. BIZNIZ) ,이승기,2200798
2009,Wanna ,카라,2235965
2009,잘가요 내사랑 ,에이트,2194773
2009,거짓말 (Part.1) ,티아라,2234748
2009,Ring Ding Dong ,SHINee (샤이니),2320988
2009,Sign ,브라운아이드걸스,2339048
2009,우리 헤어지자 ,이승기,2293482
2009,Honey ,카라,2056871
2009,큰일이다 ,V.O.S,2180148
2009,AH ,애프터스쿨,2024974
2009,라차타 (LA chA TA) ,f(x),2271648
2009,사랑해 (Feat. 유리상자 박승화) ,SG 워너비,2135848
2009,친구의 고백 ,2am,2109706
2009,부른다 ,서인국,2336218
2009,비와 당신 (영화 '라디오스타' 삽입곡) ,럼블피쉬,1964754
2009,오랜만이야 ,임창정,2101171
2009,바래 ,FTISLAND (FT아일랜드),2226049
2010,Bad Girl Good Girl ,미쓰에이,2741416
2010,잔소리 (With 2AM 슬옹) ,아이유,2705410
2010,죽을 만큼 아파서 (Feat. 멜로우) ,MC몽,2733249
2010,못해 (Feat. 美) ,포맨 (4MEN),2544949
2010,죽어도 못 보내 ,2am,2549955
2010,Oh! ,소녀시대 (GIRLS' GENERATION),2554001
2010,2 Different Tears ,원더걸스,2684572
2010,너 때문에 미쳐 ,티아라,2587788
2010,밥만 잘 먹더라 ,"Homme (창민, 이현)",2776748
2010,Go Away ,2NE1,2930968
2010,루팡 (Lupin) ,카라,2579459
2010,시간아 멈춰라 ,다비치,2670748
2010,Can't Nobody ,2NE1,2930967
2010,외톨이야 ,CNBLUE (씨엔블루),2540268
2010,그땐 그땐 그땐 ,Supreme Team,2951700
2010,사랑이 술을 가르쳐 (Feat. 백찬 From 8eight) ,이승기,2546258
2010,고백 ,뜨거운 감자,2627301
2010,Love ,CNBLUE (씨엔블루),2679548
2010,나 이런사람이야 ,DJ DOC,2783154
2010,HUH ,4minute,2688949
2010,뱅(Bang) ! ,애프터스쿨,2621364
2010,Run Devil Run ,소녀시대 (GIRLS' GENERATION),2611648
