year,title,artist,number,genre
2000,"Maria Maria (feat. The Product G&B, Produced by Wyclef) ",Santana,269555,록/메탈
2000,Bye Bye Bye ,N Sync,391004,POP
2000,Music (Album Ver.) ,Madonna,4071,POP
2000,Amazed ,Lonestar,11782460,컨트리
2000,I Knew I Loved You ,Savage Garden,1427650,POP
2000,This I Promise You ,N Sync,391009,POP
2000,What A Girl Wants ,Christina Aguilera,247014,POP
2000,Show Me the Meaning of Being Lonely ,Backstreet Boys,11646250,POP
2000,Say My Name ,Destiny's Child,1274333,R&B/Soul
2000,Independent Women Part I (Album Version) ,Destiny's Child,1503293,R&B/Soul
2000,Swear It Again ,Westlife,617023,POP
2000,Oops!...I Did It Again ,Britney Spears,2535007,POP
2000,Most Girls ,Pink,247478,R&B/Soul
2000,Bent ,Matchbox Twenty,800849,록/메탈
2000,I Wanna Be With You ,Mandy Moore,1327140,POP
2000,I Think I'm in Love with You ,Jessica Simpson,892388,POP
2000,Be With You ,Enrique Iglesias,331274,POP
2000,American Pie (Album Ver.) ,Madonna,4768,POP
2000,That's The Way It Is ,Celine Dion,1326513,POP
2000,Auld Lang Syne (The Millennium Mix) ,Kenny G,1332601,재즈
2000,Try Again ,Aaliyah,1779894,국외영화
2000,Doesn't Really Matter ,Janet Jackson,1041207,R&B/Soul
2000,Desert Rose ,Sting,285531,POP
2000,"Thank God I Found You (Feat. Joe, 98°) ",Mariah Carey,309607,POP
2000,Breathe ,Faith Hill,246946,POP
2000,It's Gonna Be Me ,N Sync,391005,POP
2000,Shape Of My Heart ,Backstreet Boys,354198,POP
2000,Come On Over Baby (All I Want Is You) ,Christina Aguilera,403811,POP
2000,He Wasn't Man Enough (Radio Edit) ,Toni Braxton,247400,R&B/Soul
2000,I Turn To You ,Christina Aguilera,403809,POP
2000,Everything You Want ,Vertical Horizon,323163,록/메탈
2000,My Love Is Your Love ,Whitney Houston,636594,R&B/Soul
2000,There You Go ,Pink,247479,R&B/Soul
2000,The Real Slim Shady ,Eminem,286099,랩/힙합
2000,The One ,Backstreet Boys,11646255,POP
2000,With Arms Wide Open ,Creed,2342379,록/메탈
2000,Graduation ,Vitamin C,246896,POP
2000,Broadway ,Goo Goo Dolls,812750,록/메탈
2000,It's My Life ,Bon Jovi,19878,록/메탈
2000,"Jumpin', Jumpin' ",Destiny's Child,1274332,R&B/Soul
2000,Sexbomb (Feat. Mousse T.) ,Tom Jones,35162264,POP
2000,Give Me You ,Mary J. Blige,33310236,R&B/Soul
2000,I Wanna Know ,Joe,286240,R&B/Soul
2000,,Tim McGraw,3047685,컨트리
2000,From The Bottom Of My Broken Heart ,Britney Spears,512119,POP
2000,Could I Have This Kiss Forever (Feat. Whitney Houston) ,Enrique Iglesias,331279,POP
2000,I Will Love Again ,Lara Fabian,1809749,POP
2000,Taking You Home ,Don Henley,36686051,록/메탈
2000,I Think God Can Explain (Radio Ver.) ,Splender,11645659,POP
2000,www.memory ,Alan Jackson,1328970,컨트리
2001,"Lady Marmalade (From ""Moulin Rouge"" Soundtrack) ",Christina Aguilera,19857,국외영화
2001,Family Affair ,Mary J. Blige,411096,R&B/Soul
2001,Love Don't Cost A Thing ,Jennifer Lopez,618137,POP
2001,I'm Real (Murder Remix Feat. Ja Rule-Clean Version) ,Jennifer Lopez,369758,POP
2001,All For You ,Janet Jackson,1041192,POP
2001,Thank You ,Dido,12172156,POP
2001,Angel (Feat. Rayvon) ,Shaggy,30009626,POP
2001,Someone To Call My Lover ,Janet Jackson,1041205,R&B/Soul
2001,Fallin' ,Alicia Keys,369554,R&B/Soul
2001,U Remind Me ,Usher,11640741,R&B/Soul
2001,How You Remind Me ,Nickelback,364112,록/메탈
2001,All Or Nothing ,O-Town,7623,POP
2001,"Let Me Blow Ya Mind (Feat. Gwen Stefani, Stevie J) ",Eve,8392,랩/힙합
2001,Survivor ,Destiny's Child,1503030,R&B/Soul
2001,Hero ,Enrique Iglesias,383710,POP
2001,Loverboy ,Mariah Carey,35858880,POP
2001,Drops Of Jupiter ,Train,28419,록/메탈
2001,Drive ,Incubus,891206,록/메탈
2001,When It's Over (Remastered) ,Sugar Ray,31360461,록/메탈
2001,Hanging By A Moment (Album Version) ,Lifehouse,30521519,록/메탈
2001,Pop (Album Ver.) ,N Sync,11646339,POP
2001,Bootylicious ,Destiny's Child,1503031,R&B/Soul
2001,There You'll Be (Remastered Ver.) ,Faith Hill,1781427,컨트리
2001,Irresistible (Album Version) ,Jessica Simpson,20327,POP
2001,Again ,Lenny Kravitz,290507,록/메탈
2001,Don't Tell Me (Radio Edit) ,Madonna,354004,POP
2001,Ride Wit Me ,Nelly,497247,랩/힙합
2001,Turn Off The Light ,Nelly Furtado,1532744,POP
2001,Butterfly ,Crazy Town,6489,록/메탈
2001,"Whenever, Wherever ",Shakira,1280271,POP
2001,Only Time ,Enya,332711,POP
2001,If You're Gone ,Matchbox Twenty,19960,록/메탈
2001,It Wasn't Me (Feat. Ricardo Ducent) ,Shaggy,106841244,POP
2001,The Way You Love Me ,Faith Hill,2526648,POP
2001,Emotion ,Destiny's Child,1503038,R&B/Soul
2001,I'm Like A Bird ,Nelly Furtado,1532743,POP
2001,Gone ,N Sync,511889,POP
2001,Never Had A Dream Come True ,S Club,28299,POP
2001,What Would You Do? ,City High,36504452,R&B/Soul
2001,Nobody Wants To Be Lonely (With Christina Aguilera) ,Ricky Martin,928876,POP
2001,Stranger in My House ,Tamia,727511,R&B/Soul
2001,More Than That ,Backstreet Boys,331236,POP
2001,The Space Between ,Dave Matthews Band,36191387,록/메탈
2001,It's Been A While ,Staind,365726,록/메탈
2001,I'm Already There ,Lonestar,11648296,컨트리
2001,I'm A Believer (Soundtrack Version) ,Smash Mouth,369358,록/메탈
2001,Every Other Time ,LFO,442470,POP
2001,Be Like That ,3 Doors Down,106853546,록/메탈
2001,We Need A Resolution ,Aaliyah,33977112,R&B/Soul
2001,I'm A Survivor ,Reba McEntire,1033084,컨트리
2002,Can't Get You Out Of My Head ,Kylie Minogue,389155,POP
2002,Foolish ,Ashanti,349557,R&B/Soul
2002,Dilemma (Feat. Kelly Rowland) ,Nelly,409191,랩/힙합
2002,7 Days ,Craig David,1600134,R&B/Soul
2002,Lose Yourself (Soundtrack Version) ,Eminem,835764,랩/힙합
2002,Don't Let Me Get Me ,Pink,1120903,POP
2002,Sk8er Boi ,Avril Lavigne,354635,록/메탈
2002,Die Another Day ,Madonna,375762,국외영화
2002,A Thousand Miles ,Vanessa Carlton,340163,POP
2002,Complicated ,Avril Lavigne,354634,록/메탈
2002,A Woman's Worth ,Alicia Keys,369557,R&B/Soul
2002,Somethin' Stupid ,Robbie Williams,2979823,POP
2002,The Game Of Love (Feat. Michelle Branch) ,Santana,339204,록/메탈
2002,Hot In Herre ,Nelly,409175,랩/힙합
2002,Underneath It All ,No Doubt,369621,록/메탈
2002,A Moment Like This ,Kelly Clarkson,480310,POP
2002,In the End ,LINKIN PARK,14272,록/메탈
2002,I Need A Girl (Part Two) ,Puff Daddy,348858,랩/힙합
2002,Like I Love You ,Justin Timberlake,375685,POP
2002,Wherever You Will Go ,The Calling,527003,록/메탈
2002,Ordinary Day ,Vanessa Carlton,340161,POP
2002,Gangsta Lovin' (Album Ver.) (Edited) ,Eve,1533657,랩/힙합
2002,Without Me (Album Version (Explicit)) ,Eminem,1511372,랩/힙합
2002,Rainy Dayz (Feat. Ja Rule) ,Mary J. Blige,411179,R&B/Soul
2002,Full Moon ,Brandy,705329,R&B/Soul
2002,Goodbye to You ,Michelle Branch,359791,POP
2002,Cleanin' Out My Closet ,Eminem,341536,랩/힙합
2002,Jenny From The Block (Track Masters Remix Featuring Styles & Jadakiss) ,Jennifer Lopez,1328343,POP
2002,Luv U Better (Album Ver.) ,LL Cool J,1595972,랩/힙합
2002,U Don't Have to Call ,Usher,11640747,R&B/Soul
2002,One Last Breath ,Creed,2342452,록/메탈
2002,Ain't It Funny (Murder Remix) (Feat. Ja Rule & Caddillac Tah) ,Jennifer Lopez,2322971,POP
2002,Just A Friend ,Mario,1045992,R&B/Soul
2002,Love At First Sight ,Kylie Minogue,389154,POP
2002,Just Like A Pill ,Pink,1120904,POP
2002,What's Luv? (Clean Version) (featuring Ashanti) ,Fat Joe,800878,랩/힙합
2002,Gotta Get Thru This (D'N'D Radio Edit) ,Daniel Bedingfield,1318081,POP
2002,A New Day Has Come ,Celine Dion,358177,POP
2002,No Such Thing ,John Mayer,408267,POP
2002,Always On Time (Feat. Ashanti) ,Ja Rule,106845754,R&B/Soul
2002,Hero ,Chad Kroeger,351177,국외영화
2002,Objection (Tango) ,Shakira,1280269,POP
2002,Feel It Boy ,Beenie Man,289317,POP
2002,Where Are You Going ,Dave Matthews Band,36191399,록/메탈
2002,,BBMak,411239,POP
2002,The Middle ,Jimmy Eat World,1878902,록/메탈
2002,The Rising ,Bruce Springsteen,4572888,록/메탈
2002,By the Way ,Red Hot Chili Peppers,339868,록/메탈
2002,Big Machine ,Goo Goo Dolls,814132,록/메탈
2002,I Do (Wanna Get Close To You) ,3LW,438787,R&B/Soul
2003,Crazy In Love (Feat. Jay-Z) ,Beyonce,1827363,R&B/Soul
2003,Beautiful ,Christina Aguilera,437911,POP
2003,Hey Ya! (Radio Mix / Club Mix) ,OutKast,511728,랩/힙합
2003,Miss Independent ,Kelly Clarkson,480301,POP
2003,Shake Ya Tailfeather (Main) ,Nelly,1359783,랩/힙합
2003,Bring Me To Life ,Evanescence,451976,록/메탈
2003,Where Is The Love? ,Black Eyed Peas,825283,랩/힙합
2003,When I'm Gone ,3 Doors Down,374940,록/메탈
2003,All I Have (Feat. LL Cool J) ,Jennifer Lopez,439785,POP
2003,All The Things She Said ,t.A.T.u.,3957109,POP
2003,Cry Me A River ,Justin Timberlake,375690,POP
2003,I'm With You ,Avril Lavigne,354636,록/메탈
2003,In Da Club ,50 Cent,835770,랩/힙합
2003,Landslide ,The Chicks,1500246,컨트리
2003,Picture ,Sheryl Crow,490120,록/메탈
2003,I Drove All Night ,Celine Dion,1500027,POP
2003,Miss You ,Aaliyah,11199692,POP
2003,Gossip Folks (Feat. Ludacris) ,Missy Elliott,795054,랩/힙합
2003,Rock Your Body ,Justin Timberlake,375691,POP
2003,Mesmerize ,Ja Rule,373693,랩/힙합
2003,If You're Not The One ,Daniel Bedingfield,1318082,POP
2003,Rock Wit U (Awww Baby) (Album Version) ,Ashanti,836690,R&B/Soul
2003,Harder To Breathe ,Maroon 5,533493,록/메탈
2003,Magic Stick ,Lil' Kim,454976,랩/힙합
2003,Big Yellow Taxi ,Counting Crows,1356814,록/메탈
2003,Ignition ,R. Kelly,11639207,R&B/Soul
2003,Your Body Is A Wonderland ,John Mayer,408273,POP
2003,Unwell ,Matchbox Twenty,800926,록/메탈
2003,Sing For The Moment ,Eminem,341544,랩/힙합
