year,title,artist,number,genre
2020,2002 ,Anne-Marie,31029291,POP
2020,Dance Monkey ,Tones And I,31979846,POP
2020,Memories ,Maroon 5,32055419,POP
2020,Don't Start Now ,Dua Lipa,32137576,POP
2020,Paris in the Rain ,Lauv,31341518,POP
2020,bad guy ,Billie Eilish,31701428,POP
2020,Maniac ,Conan Gray,32122539,POP
2020,Painkiller ,Ruel,31768993,POP
2020,To Die For ,Sam Smith,32373713,POP
2020,12:45 (Stripped) ,Etham,31509376,POP
2020,Señorita ,Shawn Mendes,31877297,POP
2020,comethru ,Jeremy Zucker,31621518,POP
2020,"Into the Unknown (From ""Frozen 2""/Soundtrack Version) ",Idina Menzel,32180585,"POP, 애니메이션/웹툰, 키즈, 만화"
2020,Birthday ,Anne-Marie,32362644,POP
2020,Stuck with U ,Ariana Grande,32584913,POP
2020,Savage Love (Laxed - Siren Beat) (BTS Remix) ,Jawsh 685,32962258,POP
2020,ROXANNE ,Arizona Zervas,32180635,랩/힙합
2020,"Speechless (Full) (From ""Aladdin""/Soundtrack Version) ",Naomi Scott,31815967,"POP, 국외영화"
2020,Believer ,Imagine Dragons,30227238,"POP, 록/메탈"
2020,Snowman ,Sia,30717645,POP
2020,Know Me Too Well ,New Hope Club,32077651,POP
2020,Circles ,Post Malone,32033883,록/메탈
2020,Santa Tell Me ,Ariana Grande,5475060,POP
2020,Bad ,Christopher,31012145,POP
2020,Shape of You ,Ed Sheeran,30188113,POP
2020,All I Want for Christmas Is You ,Mariah Carey,14776,R&B/Soul
2020,YOUTH ,Troye Sivan,7928705,POP
2020,Sugar ,Maroon 5,4857981,"POP, 록/메탈"
2020,"Show Yourself (From ""Frozen 2""/Soundtrack Version) ",Idina Menzel,32180594,"POP, 애니메이션/웹툰, 키즈, 만화"
2020,On My Way (배틀그라운드 모바일 배경음악) ,Alan Walker,31680819,일렉트로니카
2020,Watermelon Sugar ,Harry Styles,32182451,POP
2020,Bad Boy ,청하,32947184,POP
2020,Blinding Lights ,The Weeknd,32219271,R&B/Soul
2020,Say So ,Doja Cat,32155999,R&B/Soul
2020,One Call Away ,Charlie Puth,5832034,POP
2020,Stack It Up (Feat. A Boogie wit da Hoodie) ,Liam Payne,32047061,POP
2020,7 rings ,Ariana Grande,31567235,POP
2020,Juice ,Lizzo,31535725,POP
2020,Love Yourself ,Justin Bieber,7931286,POP
2020,I Like Me Better ,Lauv,31341509,POP
2020,"10,000 Hours ",Dan + Shay,32077713,컨트리
2020,Closer (Feat. Halsey) ,The Chainsmokers,8287788,일렉트로니카
2020,Yummy ,Justin Bieber,32291102,POP
2020,2 soon ,keshi,31444012,R&B/Soul
2020,Attention ,Charlie Puth,30380968,POP
2020,Honesty ,Pink Sweat$,33281503,R&B/Soul
2020,I'm Not The Only One ,Sam Smith,4660794,POP
2020,EX ,Kiana Lede,31348703,R&B/Soul
2020,Talk ,Khalid,31598143,R&B/Soul
2020,"thank u, next ",Ariana Grande,31402611,POP
2021,Peaches (Feat. Daniel Caesar & Giveon) ,Justin Bieber,33359317,POP
2021,Savage Love (Laxed - Siren Beat) (BTS Remix) ,Jawsh 685,32962258,POP
2021,STAY ,The Kid LAROI,33658563,POP
2021,2002 ,Anne-Marie,31029291,POP
2021,12:45 (Stripped) ,Etham,31509376,POP
2021,Memories ,Maroon 5,32055419,POP
2021,Dance Monkey ,Tones And I,31979846,POP
2021,Off My Face ,Justin Bieber,33359309,POP
2021,Bad Habits ,Ed Sheeran,33623210,POP
2021,Paris in the Rain ,Lauv,31341518,POP
2021,Don't Start Now ,Dua Lipa,32137576,POP
2021,Maniac ,Conan Gray,32122539,POP
2021,My Universe ,Coldplay,33998510,POP
2021,Snowman ,Sia,30717645,POP
2021,Bad Boy ,청하,32947184,POP
2021,Santa Tell Me ,Ariana Grande,5475060,POP
2021,At My Worst ,Pink Sweat$,32793011,R&B/Soul
2021,parachute ,John K,33059002,POP
2021,Stuck with U ,Ariana Grande,32584913,POP
2021,All I Want for Christmas Is You ,Mariah Carey,14776,R&B/Soul
2021,Bad ,Christopher,31012145,POP
2021,Leave The Door Open ,Bruno Mars,33333951,R&B/Soul
2021,bad guy ,Billie Eilish,31701428,POP
2021,Painkiller ,Ruel,31768993,POP
2021,Shape of You ,Ed Sheeran,30188113,POP
2021,Love Yourself ,Justin Bieber,7931286,POP
2021,Ashes ,Stellar,32993141,POP
2021,To Die For ,Sam Smith,32373713,POP
2021,"Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack) ",David Guetta,5473462,일렉트로니카
2021,Believer ,Imagine Dragons,30227238,"POP, 록/메탈"
2021,comethru ,Jeremy Zucker,31621518,POP
2021,YOUTH ,Troye Sivan,7928705,POP
2021,Beautiful Mistakes ,Maroon 5,33328774,POP
2021,Kiss Me More (Feat. SZA) ,Doja Cat,33398835,POP
2021,Sugar ,Maroon 5,4857981,"POP, 록/메탈"
2021,34+35 ,Ariana Grande,33029346,POP
2021,Mood (Feat. Iann Dior) ,24KGoldn,32809262,랩/힙합
2021,Hold On ,Justin Bieber,33333761,POP
2021,Bang! ,AJR,32375186,POP
2021,Levitating (feat. DaBaby) ,Dua Lipa,32962945,POP
2021,Blinding Lights ,The Weeknd,32219271,R&B/Soul
2021,Watermelon Sugar ,Harry Styles,32182451,POP
2021,One Call Away ,Charlie Puth,5832034,POP
2021,Circles ,Post Malone,32033883,록/메탈
2021,I'm Not The Only One ,Sam Smith,4660794,POP
2021,Bonfire ,Peder Elias,31978115,POP
2021,cheap sunglasses ,John K,32974285,POP
2021,Like 1999 ,Valley,33271200,POP
2021,Tiny Riot ,Sam Ryder,33375439,POP
2021,Señorita ,Shawn Mendes,31877297,POP
2022,STAY ,The Kid LAROI,33658563,POP
2022,That's Hilarious ,Charlie Puth,34864406,POP
2022,Off My Face ,Justin Bieber,33359309,POP
2022,abcdefu ,GAYLE,33808429,POP
2022,My Universe ,Coldplay,33998510,POP
